RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearEx,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,SpecVal,Sex,TotalNo,CatIdentifier,NoMeas,SubFactor,SubWgt,CatCatchWgt,LngtCode,LngtClass,HLNoAtLngt,DevStage,LenMeasType,DateofCalculation,Valid_Aphia
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,F,6,1,NA,1,NA,1240,.,28,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,F,6,1,NA,1,NA,1240,.,32,2,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,F,6,1,NA,1,NA,1240,.,37,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,F,6,1,NA,1,NA,1240,.,38,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,F,6,1,NA,1,NA,1240,.,39,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,B,3,1,NA,1,NA,1240,.,38,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,B,3,1,NA,1,NA,1240,.,42,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,6,6,2015,W,107254,1,B,3,1,NA,1,NA,1240,.,46,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,11,11,2015,W,107254,1,M,2,1,NA,1,NA,90,.,35,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,11,11,2015,W,107254,1,M,2,1,NA,1,NA,90,.,45,1,NA,NA,20210607,107254
HL,NS-IBTS,1,GB-SCT,748S,GOV,47,NA,P,41,41,2015,W,107254,1,M,3,1,NA,1,NA,620,.,35,1,NA,NA,20210607,107254
